binomial	stateabr
Triglochin scilloides	BCN
Koeberlinia spinosa	BCN
Krameria bicolor	BCN
Krameria erecta	BCN
Krameria ramosissima	BCN
Acanthomintha ilicifolia	BCN
Clinopodium chandleri	BCN
Clinopodium ganderi	BCN
Clinopodium palmeri	BCN
Condea anitae	BCN
Condea decipiens	BCN
Condea emoryi	BCN
Condea laniflora	BCN
Hedeoma martirensis	BCN
Hedeoma nana	BCN
Lepechinia cardiophylla	BCN
Lepechinia hastata	BCN
Mentha canadensis	BCN
Monardella breweri	BCN
Monardella linoides	BCN
Monardella macrantha	BCN
Monardella nana	BCN
Monardella thymifolia	BCN
Pogogyne nudiuscula	BCN
Pogogyne serpylloides	BCN
Pogogyne tenuiflora	BCN
Poliomintha conjunctrix	BCN
Salvia apiana	BCN
Salvia brandegei	BCN
Salvia californica	BCN
Salvia carduacea	BCN
Salvia cedrosensis	BCN
Salvia clevelandii	BCN
Salvia columbariae	BCN
Salvia chionopeplica	BCN
Salvia chionophylla	BCN
Salvia eremostachya	BCN
Salvia mellifera	BCN
Salvia mohavensis	BCN
Salvia munzii	BCN
Salvia pachyphylla	BCN
Salvia pachystachya	BCN
Salvia peninsularis	BCN
Salvia platycheila	BCN
Salvia polystachia	BCN
Salvia stachyoides	BCN
Salvia vaseyi	BCN
Scutellaria mexicana	BCN
Scutellaria tuberosa	BCN
Stachys rigida	BCN
Teucrium cubense	BCN
Teucrium glandulosum	BCN
Trichostema lanatum	BCN
Trichostema lanceolatum	BCN
Trichostema micranthum	BCN
Trichostema parishii	BCN
Vitex mollis	BCN
Umbellularia californica	BCN
Calochortus concolor	BCN
Calochortus dunnii	BCN
Calochortus flexuosus	BCN
Calochortus splendens	BCN
Calochortus weedii	BCN
Chlorogalum parviflorum	BCN
Lilium humboldtii	BCN
Lilium pardalinum	BCN
Lilium parryi	BCN
Linum lewisii	BCN
Eucnide aurea	BCN
Eucnide cordata	BCN
Eucnide rupestris	BCN
Eucnide tenella	BCN
Eucnide urens	BCN
Mentzelia adhaerens	BCN
Mentzelia affinis	BCN
Mentzelia albicaulis	BCN
Mentzelia aspera	BCN
Mentzelia desertorum	BCN
Mentzelia dispersa	BCN
Mentzelia hirsutissima	BCN
Mentzelia involucrata	BCN
Mentzelia micrantha	BCN
Mentzelia multiflora	BCN
Mentzelia nitens	BCN
Mentzelia obscura	BCN
Mentzelia oreophila	BCN
Mentzelia veatchiana	BCN
Petalonyx linearis	BCN
Petalonyx thurberi	BCN
Psittacanthus sonorae	BCN
Ammannia coccinea	BCN
Ammannia robusta	BCN
Heimia salicifolia	BCN
Lythrum californicum	BCN
Lythrum gracile	BCN
Rotala ramosior	BCN
Callaeum macropterum	BCN
Cottsia californica	BCN
Cottsia gracilis	BCN
Galphimia angustifolia	BCN
Abutilon californicum	BCN
Abutilon incanum	BCN
Abutilon palmeri	BCN
Abutilon parvulum	BCN
Abutilon purpusii	BCN
Anoda acerifolia	BCN
Anoda cristata	BCN
Anoda lanceolata	BCN
Anoda pentaschista	BCN
Ayenia glabra	BCN
Ayenia wrightii	BCN
Eremalche exilis	BCN
Eremalche rotundifolia	BCN
Fremontodendron californicum	BCN
Fremontodendron mexicanum	BCN
Gossypium armourianum	BCN
Herissantia crispa	BCN
Hibiscus biseptus	BCN
Hibiscus coulteri	BCN
Hibiscus denudatus	BCN
Horsfordia alata	BCN
Horsfordia exalata	BCN
Horsfordia newberryi	BCN
Horsfordia rotundifolia	BCN
Kearnemalvastrum subtriflorum	BCN
Kosteletzkya depressa	BCN
Lavatera lindsayi	BCN
Lavatera occidentalis	BCN
Lavatera venosa	BCN
Malacothamnus densiflorus	BCN
Malacothamnus fasciculatus	BCN
Malacothamnus foliosus	BCN
Malacothamnus marrubioides	BCN
Malvastrum bicuspidatum	BCN
Malvastrum coromandelianum	BCN
Malvella leprosa	BCN
Melochia tomentosa	BCN
Sidalcea malviflora	BCN
Sidalcea neomexicana	BCN
Sphaeralcea ambigua	BCN
Sphaeralcea axillaris	BCN
Sphaeralcea coulteri	BCN
Sphaeralcea emoryi	BCN
Sphaeralcea fulva	BCN
Sphaeralcea hainesii	BCN
Sphaeralcea orcuttii	BCN
Sphaeralcea palmeri	BCN
Sphaeralcea sulphurea	BCN
Proboscidea altheifolia	BCN
Proboscidea louisiana	BCN
Proboscidea parviflora	BCN
Anticlea fremontii	BCN
Zigadenus venenosus	BCN
Glinus radiatus	BCN
Mollugo verticillata	BCN
Calandrinia ciliata	BCN
Claytonia parviflora	BCN
Claytonia perfoliata	BCN
Lewisia brachycalyx	BCN
Ficus petiolaris	BCN
Abronia gracilis	BCN
Abronia maritima	BCN
Abronia umbellata	BCN
Abronia villosa	BCN
Allionia incarnata	BCN
Boerhavia coccinea	BCN
Boerhavia coulteri	BCN
Boerhavia erecta	BCN
Boerhavia gracillima	BCN
Boerhavia intermedia	BCN
Boerhavia spicata	BCN
Boerhavia triquetra	BCN
Boerhavia wrightii	BCN
Boerhavia xanti	BCN
Commicarpus brandegeei	BCN
Commicarpus scandens	BCN
Mirabilis californica	BCN
Mirabilis jalapa	BCN
Mirabilis laevis	BCN
Mirabilis multiflora	BCN
Mirabilis oligantha	BCN
Mirabilis tenuiloba	BCN
Forestiera neomexicana	BCN
Fraxinus dipetala	BCN
Fraxinus velutina	BCN
Hesperelaea palmeri	BCN
Menodora scabra	BCN
Menodora spinescens	BCN
Camissonia boothii	BCN
Camissonia cardiophylla	BCN
Camissonia claviformis	BCN
Camissonia chamaenerioides	BCN
Camissonia graciliflora	BCN
Camissonia strigulosa	BCN
Camissoniopsis bistorta	BCN
Camissoniopsis cheiranthifolia	BCN
Camissoniopsis guadalupensis	BCN
Camissoniopsis hirtella	BCN
Camissoniopsis ignota	BCN
Camissoniopsis intermedia	BCN
Camissoniopsis lewisii	BCN
Camissoniopsis micrantha	BCN
Camissoniopsis pallida	BCN
Camissoniopsis proavita	BCN
Camissoniopsis robusta	BCN
Clarkia delicata	BCN
Clarkia epilobioides	BCN
Clarkia purpurea	BCN
Clarkia rhomboidea	BCN
Clarkia unguiculata	BCN
Epilobium canum	BCN
Epilobium ciliatum	BCN
Epilobium densiflorum	BCN
Epilobium foliosum	BCN
Epilobium glaberrimum	BCN
Epilobium pygmaeum	BCN
Eulobus angelorum	BCN
Eulobus californicus	BCN
Eulobus crassifolius	BCN
Eulobus sceptrostigma	BCN
Gaura drummondii	BCN
Gaura sinuata	BCN
Gayophytum diffusum	BCN
Lopezia grandiflora	BCN
Ludwigia octovalvis	BCN
Ludwigia peploides	BCN
Oenothera arizonica	BCN
Oenothera brandegeei	BCN
Oenothera cardiophylla	BCN
Oenothera cespitosa	BCN
Oenothera curtiflora	BCN
Oenothera decorticans	BCN
Oenothera deltoides	BCN
Oenothera elata	BCN
Oenothera hookeri	BCN
Oenothera micrantha	BCN
Oenothera primiveris	BCN
Oenothera refracta	BCN
Oenothera triloba	BCN
Oenothera wigginsii	BCN
Xylonagra arborea	BCN
Bletia purpurata	BCN
Epipactis gigantea	BCN
Habenaria crassicornis	BCN
Malaxis unifolia	BCN
Platanthera brevifolia	BCN
Platanthera cooperi	BCN
Platanthera limosa	BCN
Platanthera sparsiflora	BCN
Spiranthes nebulorum	BCN
Castilleja affinis	BCN
Castilleja arvensis	BCN
Castilleja attenuata	BCN
Castilleja bryantii	BCN
Castilleja californica	BCN
Castilleja densiflora	BCN
Castilleja exilis	BCN
Castilleja exserta	BCN
Castilleja foliolosa	BCN
Castilleja fruticosa	BCN
Castilleja guadalupensis	BCN
Castilleja integra	BCN
Castilleja jepsonii	BCN
Castilleja lanata	BCN
Castilleja martinii	BCN
Castilleja stenantha	BCN
Castilleja tenuiflora	BCN
Cordylanthus filifolius	BCN
Cordylanthus maritimus	BCN
Cordylanthus nevinii	BCN
Cordylanthus orcuttianus	BCN
Cordylanthus rigidus	BCN
Ophiocephalus angustifolius	BCN
Orobanche bulbosa	BCN
Orobanche cooperi	BCN
Orobanche fasciculata	BCN
Orobanche grayana	BCN
Orobanche ludoviciana	BCN
Orobanche multicaulis	BCN
Orobanche parishii	BCN
Pedicularis densiflora	BCN
Oxalis corniculata	BCN
Oxalis drummondii	BCN
Argemone gracilenta	BCN
Argemone intermedia	BCN
Argemone mexicana	BCN
Argemone munita	BCN
Argemone ochroleuca	BCN
Argemone platyceras	BCN
Argemone subintegrifolia	BCN
Bocconia arborea	BCN
Corydalis aurea	BCN
Dendromecon rigidum	BCN
Eschscholzia californica	BCN
Eschscholzia elegans	BCN
Eschscholzia mexicana	BCN
Eschscholzia minutiflora	BCN
Eschscholzia palmeri	BCN
Eschscholzia parishii	BCN
Eschscholzia ramosa	BCN
Meconella denticulata	BCN
Platystemon californicus	BCN
Romneya coulteri	BCN
Romneya trichocalyx	BCN
Stylomecon heterophylla	BCN
Passiflora arida	BCN
Passiflora palmeri	BCN
Turnera diffusa	BCN
Diplacus stellatus	BCN
Erythranthe arvensis	BCN
Erythranthe brevinasuta	BCN
Erythranthe geyeri	BCN
Erythranthe glabrata	BCN
Erythranthe guttata	BCN
Erythranthe nasuta	BCN
Mimulus aridus	BCN
Mimulus aurantiacus	BCN
Mimulus bigelovii	BCN
Mimulus brevipes	BCN
Mimulus cardinalis	BCN
Mimulus clevelandii	BCN
Mimulus diffusus	BCN
Mimulus exiguus	BCN
Mimulus floribundus	BCN
Mimulus fremontii	BCN
Mimulus guttatus	BCN
Mimulus latidens	BCN
Mimulus latifolius	BCN
Mimulus longiflorus	BCN
Mimulus pilosus	BCN
Mimulus puniceus	BCN
Mimulus purpureus	BCN
Mimulus rubellus	BCN
Andrachne microphylla	BCN
Phytolacca icosandra	BCN
Tetracoccus dioicus	BCN
Tetracoccus fasciculatus	BCN
Antirrhinum coulterianum	BCN
Antirrhinum cyathiferum	BCN
Antirrhinum kelloggii	BCN
Antirrhinum nuttallianum	BCN
Antirrhinum watsonii	BCN
Asarina filipes	BCN
Asarina stricta	BCN
Bacopa monnieri	BCN
Callitriche heterophylla	BCN
Callitriche marginata	BCN
Callitriche palustris	BCN
Collinsia concolor	BCN
Collinsia childii	BCN
Collinsia heterophylla	BCN
Galvezia juncea	BCN
Galvezia speciosa	BCN
Hippuris vulgaris	BCN
Keckiella antirrhinoides	BCN
Keckiella cordifolia	BCN
Keckiella ternata	BCN
Mabrya geniculata	BCN
Mohavea confertiflora	BCN
Nuttallanthus canadensis	BCN
Penstemon californicus	BCN
Penstemon cedrosensis	BCN
Penstemon centranthifolius	BCN
Penstemon clevelandii	BCN
Penstemon eximius	BCN
Penstemon labrosus	BCN
Penstemon linarioides	BCN
Penstemon rostriflorus	BCN
Penstemon spectabilis	BCN
Penstemon thurberi	BCN
Plantago heterophylla	BCN
Plantago hookeriana	BCN
Plantago linearis	BCN
Plantago ovata	BCN
Plantago patagonica	BCN
Plantago rhodosperma	BCN
Schistophragma intermedium	BCN
Schistophragma polystachyum	BCN
Stemodia durantifolia	BCN
Stemodia pusilla	BCN
Veronica americana	BCN
Veronica peregrina	BCN
Platanus racemosa	BCN
Limonium californicum	BCN
Achnatherum bracteatum	BCN
Achnatherum diegoense	BCN
Achnatherum eminens	BCN
Achnatherum hymenoides	BCN
Aegopogon cenchroides	BCN
Aegopogon tenellus	BCN
Agrostis exarata	BCN
Agrostis hyemalis	BCN
Agrostis microphylla	BCN
Agrostis pallens	BCN
Alopecurus geniculatus	BCN
Alopecurus magellanicus	BCN
Alopecurus saccatus	BCN
Andropogon glomeratus	BCN
Anthephora hermaphrodita	BCN
Aristida adscensionis	BCN
Aristida arizonica	BCN
Aristida californica	BCN
Aristida divaricata	BCN
Aristida havardii	BCN
Aristida pansa	BCN
Aristida purpurea	BCN
Aristida purpusiana	BCN
Aristida schiedeana	BCN
Aristida ternipes	BCN
Bothriochloa barbinodis	BCN
Bothriochloa laguroides	BCN
Bouteloua annua	BCN
Bouteloua aristidoides	BCN
Bouteloua barbata	BCN
Bouteloua curtipendula	BCN
Bouteloua chondrosioides	BCN
Bouteloua erecta	BCN
Bouteloua eriopoda	BCN
Bouteloua gracilis	BCN
Bouteloua reflexa	BCN
Bouteloua repens	BCN
Bouteloua simplex	BCN
Bouteloua trifida	BCN
Bromidium tandilense	BCN
Bromus anomalus	BCN
Bromus arizonicus	BCN
Bromus carinatus	BCN
Bromus ciliatus	BCN
Bromus madritensis	BCN
Bromus marginatus	BCN
Bromus pseudolaevipes	BCN
Calamagrostis densa	BCN
Cenchrus echinatus	BCN
Cenchrus incertus	BCN
Cenchrus myosuroides	BCN
Cenchrus palmeri	BCN
Chondrosum hirsutum	BCN
Dasyochloa pulchella	BCN
Deschampsia danthonioides	BCN
Deschampsia elongata	BCN
Dichanthelium acuminatum	BCN
Dichanthelium lanuginosum	BCN
Digitaria bicornis	BCN
Digitaria californica	BCN
Digitaria insularis	BCN
Disakisperma dubium	BCN
Dissanthelium californicum	BCN
Distichlis bajaensis	BCN
Distichlis littoralis	BCN
Distichlis palmeri	BCN
Distichlis spicata	BCN
Echinochloa crus-pavonis	BCN
Elionurus barbiculmis	BCN
Elymus elymoides	BCN
Elymus glaucus	BCN
Elymus trachycaulus	BCN
Eragrostis hypnoides	BCN
Eragrostis intermedia	BCN
Eragrostis lugens	BCN
Eragrostis mexicana	BCN
Eragrostis palmeri	BCN
Eragrostis pectinacea	BCN
Eragrostis secundiflora	BCN
Eragrostis spicata	BCN
Eriochloa acuminata	BCN
Eriochloa aristata	BCN
Eriochloa contracta	BCN
Festuca amplissima	BCN
Festuca bajacaliforniana	BCN
Hesperostipa neomexicana	BCN
Heteropogon contortus	BCN
Heteropogon melanocarpus	BCN
Hilaria belangeri	BCN
Hilaria cenchroides	BCN
Hilaria ciliata	BCN
Hordeum arizonocum	BCN
Hordeum brachyantherum	BCN
Hordeum depressum	BCN
Imperata brasiliensis	BCN
Imperata brevifolia	BCN
Jouvea pilosa	BCN
Koeleria pyramidata	BCN
Lasiacis divaricata	BCN
Lasiacis ruscifolia	BCN
Lasiacis sorghoidea	BCN
Leersia oryzoides	BCN
Leptochloa fusca	BCN
Leptochloa panicea	BCN
Leptochloa panicoides	BCN
Leptochloa viscida	BCN
Leymus condensatus	BCN
Leymus triticoides	BCN
Melica frutescens	BCN
Melica imperfecta	BCN
Microchloa kunthii	BCN
Mnesithea granularis	BCN
Muhlenbergia appressa	BCN
Muhlenbergia arizonica	BCN
Muhlenbergia arsenei	BCN
Muhlenbergia asperifolia	BCN
Muhlenbergia californica	BCN
Muhlenbergia ciliata	BCN
Muhlenbergia filiformis	BCN
Muhlenbergia fragilis	BCN
Muhlenbergia glauca	BCN
Muhlenbergia microsperma	BCN
Muhlenbergia minutissima	BCN
Muhlenbergia montana	BCN
Muhlenbergia pauciflora	BCN
Muhlenbergia pereilema	BCN
Muhlenbergia phleoides	BCN
Muhlenbergia polycaulis	BCN
Muhlenbergia porteri	BCN
Muhlenbergia ramulosa	BCN
Muhlenbergia repens	BCN
Muhlenbergia richardsonis	BCN
Muhlenbergia rigens	BCN
Muhlenbergia rigida	BCN
Muhlenbergia texana	BCN
Muhlenbergia tricholepis	BCN
Muhlenbergia utilis	BCN
Muhlenbergia wrightii	BCN
Nassella cernua	BCN
Nassella lepida	BCN
Nassella leucotricha	BCN
Nassella pulchra	BCN
Oplismenus hirtellus	BCN
Orcuttia californica	BCN
Panicum alatum	BCN
Panicum capillare	BCN
Panicum dichotomiflorum	BCN
Panicum hirticaule	BCN
Panicum trichoides	BCN
Panicum urvilleanum	BCN
Paspalidium geminatum	BCN
Paspalum distichum	BCN
Paspalum lentiginosum	BCN
Paspalum paniculatum	BCN
Paspalum pubiflorum	BCN
Paspalum tinctum	BCN
Peyritschia pringlei	BCN
Phalaris caroliniana	BCN
Phalaris lemmonii	BCN
Phragmites australis	BCN
Piptochaetium fimbriatum	BCN
Pleuraphis rigida	BCN
Poa bajaensis	BCN
Poa bigelovii	BCN
Poa fendleriana	BCN
Poa howellii	BCN
Poa secunda	BCN
Polypogon australis	BCN
Schizachyrium cirratum	BCN
Schizachyrium sanguineum	BCN
Schizachyrium semitectum	BCN
Setaria liebmannii	BCN
Setaria macrostachya	BCN
Setaria parviflora	BCN
Setariopsis auriculata	BCN
Sitanion jubatum	BCN
Sorghastrum nutans	BCN
Spartina foliosa	BCN
Sphenopholis interrupta	BCN
Sphenopholis obtusata	BCN
Sporobolus airoides	BCN
Sporobolus atrovirens	BCN
Sporobolus contractus	BCN
Sporobolus cryptandrus	BCN
Sporobolus flexuosus	BCN
Sporobolus pyramidatus	BCN
Sporobolus virginicus	BCN
Sporobolus wrightii	BCN
Stipa coronata	BCN
Stipa speciosa	BCN
Tetrapogon brandegeei	BCN
Tetrapogon chlorideus	BCN
Trachypogon spicatus	BCN
Tridens muticus	BCN
Tripsacum lanceolatum	BCN
Uniola pittieri	BCN
Urochloa arizonica	BCN
Urochloa fusca	BCN
Vulpia microstachys	BCN
Vulpia octoflora	BCN
Zea mays	BCN
Zuloagaea bulbosa	BCN
Acanthogilia gloriosa	BCN
Allophyllum gilioides	BCN
Allophyllum glutinosum	BCN
Allophyllum nemophilophyllum	BCN
Bryantiella palmeri	BCN
Eriastrum densifolium	BCN
Eriastrum diffusum	BCN
Eriastrum eremicum	BCN
Eriastrum filifolium	BCN
Eriastrum sapphirinum	BCN
Gilia angelensis	BCN
Gilia australis	BCN
Gilia caruifolia	BCN
Gilia diegensis	BCN
Gilia flavocincta	BCN
Gilia latifolia	BCN
Gilia mexicana	BCN
Gilia nevinii	BCN
Gilia sinuata	BCN
Gilia stellata	BCN
Giliastrum rigidulum	BCN
Ipomopsis aggregata	BCN
Ipomopsis effusa	BCN
Ipomopsis guttata	BCN
Ipomopsis tenuifolia	BCN
Langloisia matthewsii	BCN
Langloisia schottii	BCN
Langloisia setosissima	BCN
Leptodactylon pungens	BCN
Leptodactylon veatchii	BCN
Linanthus aureus	BCN
Linanthus bellus	BCN
Linanthus bigelovii	BCN
Linanthus dianthiflorus	BCN
Linanthus floribundus	BCN
Linanthus jamauensis	BCN
Linanthus jonesii	BCN
Linanthus laxus	BCN
Linanthus lemmonii	BCN
Linanthus melingii	BCN
Linanthus orcuttii	BCN
Linanthus parviflorus	BCN
Linanthus pygmaeus	BCN
Linanthus uncialis	BCN
Loeselia ciliata	BCN
Navarretia atractyloides	BCN
Navarretia fossalis	BCN
Navarretia hamata	BCN
Navarretia intertexta	BCN
Navarretia peninsularis	BCN
Phlox austromontana	BCN
Phlox gracilis	BCN
Hebecarpa macradenia	BCN
Rhinotropis cornuta	BCN
Rhinotropis desertorum	BCN
Antigonon leptopus	BCN
Centrostegia thurberi	BCN
Chorizanthe brevicornu	BCN
Chorizanthe corrugata	BCN
Chorizanthe fimbriata	BCN
Chorizanthe flava	BCN
Chorizanthe inequalis	BCN
Chorizanthe interposita	BCN
Chorizanthe jonesiana	BCN
Chorizanthe leptotheca	BCN
Chorizanthe mutabilis	BCN
Chorizanthe parryi	BCN
Chorizanthe polygonoides	BCN
Chorizanthe procumbens	BCN
Chorizanthe pulchella	BCN
Chorizanthe rigida	BCN
Chorizanthe rosulenta	BCN
Chorizanthe turbinata	BCN
Eriogonum abertianum	BCN
Eriogonum angelense	BCN
Eriogonum angulosum	BCN
Eriogonum austrinum	BCN
Eriogonum brachyanthum	BCN
Eriogonum brachypodum	BCN
Eriogonum davidsonii	BCN
Eriogonum deflexum	BCN
Eriogonum deserticola	BCN
Eriogonum elongatum	BCN
Eriogonum encelioides	BCN
Eriogonum fasciculatum	BCN
Eriogonum fastigiatum	BCN
Eriogonum foliosum	BCN
Eriogonum galioides	BCN
Eriogonum gracile	BCN
Eriogonum grande	BCN
Eriogonum inflatum	BCN
Eriogonum intricatum	BCN
Eriogonum molle	BCN
Eriogonum moranii	BCN
Eriogonum nudum	BCN
Eriogonum orcuttianum	BCN
Eriogonum parishii	BCN
Eriogonum pondii	BCN
Eriogonum reniforme	BCN
Eriogonum scalare	BCN
Eriogonum thomasii	BCN
Eriogonum thurberi	BCN
Eriogonum trichopes	BCN
Eriogonum wrightii	BCN
Eriogonum zapatoense	BCN
Harfordia macroptera	BCN
Lastarriaea coriacea	BCN
Lastarriaea chilensis	BCN
Lastarriaea ptilota	BCN
Nemacaulis denudata	BCN
Oxytheca trilobata	BCN
Periscaria segeta	BCN
Persicaria amphibia	BCN
Persicaria hydropiperoides	BCN
Persicaria punctata	BCN
Polygonum douglasii	BCN
Pterostegia drymarioides	BCN
Rumex californicus	BCN
Rumex hymenosepalus	BCN
Rumex salicifolius	BCN
Rumex violascens	BCN
Cistanthe ambigua	BCN
Cistanthe guadalupensis	BCN
Cistanthe maritima	BCN
Cistanthe monandra	BCN
Cistanthe parryi	BCN
Cistanthe umbellata	BCN
Portulaca halimoides	BCN
Portulaca oleracea	BCN
Portulaca pilosa	BCN
Portulaca suffrutescens	BCN
Portulaca umbraticola	BCN
Potamogeton foliosus	BCN
Potamogeton illinoensis	BCN
Potamogeton natans	BCN
Potamogeton nodosus	BCN
Potamogeton pusillus	BCN
Stuckenia pectinata	BCN
Zannichellia palustris	BCN
Androsace elongata	BCN
Bonellia macrocarpa	BCN
Dodecatheon clevelandii	BCN
Samolus floribundus	BCN
Anemone tuberosa	BCN
Aquilegia formosa	BCN
Clematis lasiantha	BCN
Clematis ligusticifolia	BCN
Clematis pauciflora	BCN
Delphinium cardinale	BCN
Delphinium parishii	BCN
Delphinium parryi	BCN
Delphinium patens	BCN
Myosurus cupulatus	BCN
Myosurus minimus	BCN
Paeonia californica	BCN
Ranunculus alismifolius	BCN
Ranunculus aquatilis	BCN
Ranunculus californicus	BCN
Ranunculus cymbalaria	BCN
Ranunculus hebecarpus	BCN
Ranunculus hydrocharoides	BCN
Thalictrum fendleri	BCN
Thalictrum polycarpum	BCN
Oligomeris linifolia	BCN
Adolphia californica	BCN
Ceanothus cordulatus	BCN
Ceanothus crassifolius	BCN
Ceanothus cuneatus	BCN
Ceanothus cyaneus	BCN
Ceanothus divaricatus	BCN
Ceanothus greggii	BCN
Ceanothus leucodermis	BCN
Ceanothus oliganthus	BCN
Ceanothus spinosus	BCN
Ceanothus thyrsiflorus	BCN
Ceanothus tomentosus	BCN
Ceanothus verrucosus	BCN
Ceanothus vestitus	BCN
Colubrina californica	BCN
Colubrina greggii	BCN
Colubrina viridis	BCN
Condalia brandegeei	BCN
Condalia globosa	BCN
Condalia lycioides	BCN
Condalia parryi	BCN
Condalia spathulata	BCN
Frangula californica	BCN
Karwinskia humboldtiana	BCN
Rhamnus crocea	BCN
Rhamnus ilicifolia	BCN
Rhamnus pirifolia	BCN
Ziziphus obtusifolia	BCN
Rhizophora mangle	BCN
Adenostoma fasciculatum	BCN
Adenostoma sparsifolium	BCN
Amelanchier utahensis	BCN
Aphanes occidentalis	BCN
Cercocarpus betuloides	BCN
Cercocarpus ledifolius	BCN
Cercocarpus montanus	BCN
Cercocarpus rotundifolius	BCN
Chamaebatia australis	BCN
Fragaria californica	BCN
Heteromeles arbutifolia	BCN
Holodiscus microphyllus	BCN
Horkelia bolanderi	BCN
Horkelia cuneata	BCN
Horkelia truncata	BCN
Ivesia argyrocoma	BCN
Potentilla biennis	BCN
Potentilla glandulosa	BCN
Potentilla saxosa	BCN
Potentilla wheeleri	BCN
Prunus fasciculata	BCN
Prunus fremontii	BCN
Prunus ilicifolia	BCN
Prunus lyonii	BCN
Rosa californica	BCN
Rosa minutifolia	BCN
Rubus ursinus	BCN
Sericotheca dumosa	BCN
Vauquelinia californica	BCN
Diodia teres	BCN
Galium andrewsii	BCN
Galium angulosum	BCN
Galium angustifolium	BCN
Galium aparine	BCN
Galium coronadoense	BCN
Galium diabolense	BCN
Galium martirense	BCN
Galium nuttallii	BCN
Galium porrigens	BCN
Galium stellatum	BCN
Galium volcanense	BCN
Galium wigginsii	BCN
Galium wrightii	BCN
Mitracarpus breviflorus	BCN
Mitracarpus glabrescens	BCN
Randia armata	BCN
Randia obcordata	BCN
Randia thurberi	BCN
Stenotis brevipes	BCN
Ruppia maritima	BCN
Cneoridium dumosum	BCN
Ptelea aptera	BCN
Thamnosma montanum	BCN
Populus fremontii	BCN
Populus tremuloides	BCN
Populus trichocarpa	BCN
Salix bonplandiana	BCN
Salix exigua	BCN
Salix gooddingii	BCN
Salix hindsiana	BCN
Salix laevigata	BCN
Salix lasiolepis	BCN
Salix taxifolia	BCN
Arceuthobium abietinum	BCN
Arceuthobium campylopodum	BCN
Arceuthobium divaricatum	BCN
Phoradendron bolleanum	BCN
Phoradendron brachystachyum	BCN
Phoradendron californicum	BCN
Phoradendron coryae	BCN
Phoradendron densum	BCN
Phoradendron diguetii	BCN
Phoradendron juniperinum	BCN
Phoradendron leucarpum	BCN
Phoradendron villosum	BCN
Aesculus parryi	BCN
Cardiospermum halicacabum	BCN
Dodonaea viscosa	BCN
Paullinia sonorensis	BCN
Sideroxylon leucophyllum	BCN
Sideroxylon occidentale	BCN
Anemopsis californica	BCN
Heuchera brevistaminea	BCN
Heuchera rubescens	BCN
Jepsonia parryi	BCN
Lithophragma affine	BCN
Lithophragma cymbalaria	BCN
Lithophragma heterophyllum	BCN
Lithophragma tripartitum	BCN
Buddleja sessiliflora	BCN
Limosella aquatica	BCN
Scrophularia californica	BCN
Scrophularia villosa	BCN
Schoepfia californica	BCN
Castela emoryi	BCN
Castela polyandra	BCN
Simmondsia chinensis	BCN
Bouchetia erecta	BCN
Calibrachoa parviflora	BCN
Capsicum annuum	BCN
Datura discolor	BCN
Datura inoxia	BCN
Lycium andersonii	BCN
Lycium berlandieri	BCN
Lycium brevipes	BCN
Lycium californicum	BCN
Lycium cooperi	BCN
Lycium densiflorum	BCN
Lycium exsertum	BCN
Lycium fremontii	BCN
Lycium megacarpum	BCN
Lycium parishii	BCN
Lycium torreyi	BCN
Nicotiana attenuata	BCN
Nicotiana clevelandii	BCN
Nicotiana obtusifolia	BCN
Nicotiana palmeri	BCN
Physalis acutifolia	BCN
Physalis angulata	BCN
Physalis crassifolia	BCN
Physalis flava	BCN
Physalis greenei	BCN
Physalis hederifolia	BCN
Physalis muriculata	BCN
Physalis philadelphica	BCN
Physalis pubescens	BCN
Solanum adscendens	BCN
Solanum americanum	BCN
Solanum douglasii	BCN
Solanum elaeagnifolium	BCN
Solanum hindsianum	BCN
Solanum nigrescens	BCN
Solanum palmeri	BCN
Solanum parishii	BCN
Solanum tenuilobatum	BCN
Solanum umbellatum	BCN
Solanum umbelliferum	BCN
Solanum wallacei	BCN
Solanum xanti	BCN
Stegnosperma cubense	BCN
Stegnosperma scandens	BCN
Sparganium eurycarpum	BCN
Typha domingensis	BCN
Typha latifolia	BCN
Hesperocnide tenella	BCN
Parietaria debilis	BCN
Urtica holosericea	BCN
Burroughsia fastigiata	BCN
Glandularia gooddingii	BCN
Glandularia lilacina	BCN
Lantana camara	BCN
Lantana urticoides	BCN
Lippia incisa	BCN
Lippia palmeri	BCN
Phyla lanceolata	BCN
Phyla nodiflora	BCN
Verbena bracteata	BCN
Verbena lasiostachys	BCN
Verbena menthifolia	BCN
Verbena neomexicana	BCN
Verbena orcuttiana	BCN
Verbena plicata	BCN
Verbena scabra	BCN
Hybanthus fruticulosus	BCN
Hybanthus verticillatus	BCN
Viola douglasii	BCN
Viola lobata	BCN
Viola pedunculata	BCN
Viola purpurea	BCN
Cissus trifoliata	BCN
Vitis arizonica	BCN
Vitis girdiana	BCN
Phyllospadix scouleri	BCN
Phyllospadix torreyi	BCN
Zostera marina	BCN
Fagonia barclayana	BCN
Fagonia californica	BCN
Fagonia densa	BCN
Fagonia laevis	BCN
Fagonia pachyacantha	BCN
Fagonia palmeri	BCN
Fagonia villosa	BCN
Guaiacum coulteri	BCN
Kallstroemia californica	BCN
Kallstroemia grandiflora	BCN
Larrea tridentata	BCN
