binomial	stateabr
Agave parrasana	AGS
Agave parryi	AGS
Agave salmiana	AGS
Agave schidigera	AGS
Agave striata	AGS
Agave vilmoriniana	AGS
Bessera elegans	AGS
Dasylirion acrotrichum	AGS
Dasylirion graminifolium	AGS
Dasylirion occidentalis	AGS
Echeandia durangensis	AGS
Echeandia flavescens	AGS
Echeandia flexuosa	AGS
Echeandia mexicana	AGS
Echeandia scabrella	AGS
Hemiphylacus latifolius	AGS
Hemiphylacus novogalicianus	AGS
Manfreda guttata	AGS
Manfreda scabra	AGS
Milla biflora	AGS
Nolina juncea	AGS
Nolina parviflora	AGS
Polianthes geminiflora	AGS
Polianthes pringlei	AGS
Prochnyanthes mexicana	AGS
Yucca decipiens	AGS
Yucca filifera	AGS
Yucca treculeana	AGS
Acmella repens	AGS
Acourtia dissiticeps	AGS
Acourtia dugesii	AGS
Acourtia fruticosa	AGS
Acourtia glomeriflora	AGS
Acourtia mexicana	AGS
Acourtia nana	AGS
Acourtia parryi	AGS
Acourtia pulchella	AGS
Acourtia simulata	AGS
Acourtia turbinata	AGS
Acourtia wislizeni	AGS
Acourtia wrightii	AGS
Acourtia zacatecana	AGS
Achillea millefolium	AGS
Adenophyllum cancellatum	AGS
Adenophyllum porophyllum	AGS
Adenophyllum pulcherrimum	AGS
Ageratina adenophora	AGS
Ageratina areolaris	AGS
Ageratina blepharilepis	AGS
Ageratina brevipes	AGS
Ageratina calaminthifolia	AGS
Ageratina calophylla	AGS
Ageratina campyloclada	AGS
Ageratina espinosarum	AGS
Ageratina mairetiana	AGS
Ageratina malacolepis	AGS
Ageratina oligocephala	AGS
Ageratina palmeri	AGS
Ageratina petiolaris	AGS
Ageratina pichinchensis	AGS
Ageratina rubricaulis	AGS
Ageratina scorodonioides	AGS
Ageratina triniona	AGS
Ageratina venulosa	AGS
Ageratina wrightii	AGS
Ageratum corymbosum	AGS
Aldama cordifolia	AGS
Aldama hispida	AGS
Aldama linearis	AGS
Aldama pachycephala	AGS
Aldama palmeri	AGS
Almutaster pauciflorus	AGS
Alloispermum scabrum	AGS
Amauriopsis glandulosa	AGS
Ambrosia artemisiifolia	AGS
Ambrosia canescens	AGS
Ambrosia confertiflora	AGS
Ambrosia monogyra	AGS
Ambrosia peruviana	AGS
Aphanostephus ramosissimus	AGS
Archibaccharis serratifolia	AGS
Artemisia klotzschiana	AGS
Artemisia ludoviciana	AGS
Asanthus thyrsiflorus	AGS
Astranthium orthopodum	AGS
Baccharis brevipappa	AGS
Baccharis heterophylla	AGS
Baccharis palmeri	AGS
Baccharis pteronioides	AGS
Baccharis salicifolia	AGS
Baccharis squarrosa	AGS
Baccharis sulcata	AGS
Baccharis thesioides	AGS
Bahia absinthifolia	AGS
Bahia schaffneri	AGS
Baileya multiradiata	AGS
Barkleyanthus salicifolius	AGS
Berlandiera lyrata	AGS
Bidens angustissima	AGS
Bidens aurea	AGS
Bidens bigelovii	AGS
Bidens chiapensis	AGS
Bidens ferulifolia	AGS
Bidens lemmonii	AGS
Bidens odorata	AGS
Bidens pilosa	AGS
Bidens schaffneri	AGS
Brickellia adenolepis	AGS
Brickellia cardiophylla	AGS
Brickellia coulteri	AGS
Brickellia eupatorioides	AGS
Brickellia jaliscensis	AGS
Brickellia lanata	AGS
Brickellia lemmonii	AGS
Brickellia monocephala	AGS
Brickellia oliganthes	AGS
Brickellia oreithales	AGS
Brickellia palmeri	AGS
Brickellia paniculata	AGS
Brickellia pedunculosa	AGS
Brickellia scoparia	AGS
Brickellia secundiflora	AGS
Brickellia spinulosa	AGS
Brickellia subuligera	AGS
Brickellia vernicosa	AGS
Brickellia veronicifolia	AGS
Calea ternifolia	AGS
Calea urticifolia	AGS
Calyptocarpus vialis	AGS
Carminatia tenuiflora	AGS
Carphochaete grahamii	AGS
Cirsium anartiolepis	AGS
Conyza bonariensis	AGS
Conyza canadensis	AGS
Conyza coronopifolia	AGS
Conyza microcephala	AGS
Coreopsis cyclocarpa	AGS
Coreopsis mcvaughii	AGS
Cosmos bipinnatus	AGS
Cosmos crithmifolius	AGS
Cosmos palmeri	AGS
Cosmos parviflorus	AGS
Cosmos scabiosoides	AGS
Cosmos sulphureus	AGS
Critonia quadrangularis	AGS
Critoniopsis barbinervis	AGS
Critoniopsis foliosa	AGS
Critoniopsis salicifolia	AGS
Critoniopsis tomentosa	AGS
Critoniopsis triflosculosa	AGS
Critoniopsis uniflora	AGS
Chaetopappa bellioides	AGS
Chaetopappa ericoides	AGS
Chaptalia hololeuca	AGS
Chaptalia nutans	AGS
Chloracantha spinosa	AGS
Chromolaena collina	AGS
Chromolaena pulchella	AGS
Chrysactinia mexicana	AGS
Chrysanthellum indicum	AGS
Dahlia coccinea	AGS
Decachaeta incompta	AGS
Delilia biflora	AGS
Dendroviguiera quinqueradiata	AGS
Digitacalia jatrophoides	AGS
Dyssodia papposa	AGS
Dyssodia pinnata	AGS
Dyssodia tagetiflora	AGS
Eclipta prostrata	AGS
Electranthera mutica	AGS
Erigeron delphinifolius	AGS
Erigeron griseus	AGS
Erigeron janivultus	AGS
Erigeron longipes	AGS
Erigeron pubescens	AGS
Erigeron subacaulis	AGS
Erigeron velutipes	AGS
Euphrosyne partheniifolia	AGS
Eutetras palmeri	AGS
Flaveria anomala	AGS
Flaveria oppositifolia	AGS
Flaveria trinervia	AGS
Fleischmannia pycnocephala	AGS
Fleischmannia sonorae	AGS
Florestina pedata	AGS
Flourensia cernua	AGS
Gaillardia comosa	AGS
Galeana pratensis	AGS
Galinsoga parviflora	AGS
Gamochaeta americana	AGS
Gamochaeta sphacelata	AGS
Gonzalezia rosei	AGS
Grindelia macvaughii	AGS
Grindelia subdecurrens	AGS
Grindelia tricuspis	AGS
Guardiola mexicana	AGS
Gutierrezia conoidea	AGS
Gutierrezia sericocarpa	AGS
Gymnosperma glutinosum	AGS
Helenium mexicanum	AGS
Helianthus annuus	AGS
